"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1672","negative Without Password","","Tue Apr 08 19:48:16 CEST 2025","passed","Tue Apr 08 19:48:18 CEST 2025","","check Sign In Page","",""
"","1812","positive","","Tue Apr 08 19:48:13 CEST 2025","passed","Tue Apr 08 19:48:15 CEST 2025","","check Sign In Page","",""
"","854","check Properties","","Tue Apr 08 19:48:06 CEST 2025","passed","Tue Apr 08 19:48:06 CEST 2025","","check Sign In Page","",""
"","3598","sign up negative with wrong password repeat","","Tue Apr 08 19:47:51 CEST 2025","passed","Tue Apr 08 19:47:55 CEST 2025","","check Sign Up Page","",""
"","1512","negative Without incorrect Email","","Tue Apr 08 19:48:18 CEST 2025","passed","Tue Apr 08 19:48:19 CEST 2025","","check Sign In Page","",""
"","1456","negative Without incorrect Password","","Tue Apr 08 19:48:19 CEST 2025","passed","Tue Apr 08 19:48:21 CEST 2025","","check Sign In Page","",""
"","6364","redirectFromHomePage","","Tue Apr 08 19:47:59 CEST 2025","passed","Tue Apr 08 19:48:06 CEST 2025","","check Sign In Page","",""
"","3096","check Google Button","","Tue Apr 08 19:48:06 CEST 2025","passed","Tue Apr 08 19:48:10 CEST 2025","","check Sign In Page","",""
"","2183","sign up negative without email","","Tue Apr 08 19:47:43 CEST 2025","passed","Tue Apr 08 19:47:46 CEST 2025","","check Sign Up Page","",""
"","3105","sign up negative without password confirmation","","Tue Apr 08 19:47:48 CEST 2025","passed","Tue Apr 08 19:47:51 CEST 2025","","check Sign Up Page","",""
"","2277","sign up negative without password","","Tue Apr 08 19:47:46 CEST 2025","passed","Tue Apr 08 19:47:48 CEST 2025","","check Sign Up Page","",""
"","2415","sign up positive","","Tue Apr 08 19:47:39 CEST 2025","passed","Tue Apr 08 19:47:41 CEST 2025","","check Sign Up Page","",""
"","3649","check Facebook Button","","Tue Apr 08 19:48:10 CEST 2025","passed","Tue Apr 08 19:48:13 CEST 2025","","check Sign In Page","",""
"","2370","sign up negative without Terms check","","Tue Apr 08 19:47:55 CEST 2025","passed","Tue Apr 08 19:47:57 CEST 2025","","check Sign Up Page","",""
"","4391","check checkBoxes","","Tue Apr 08 19:47:34 CEST 2025","passed","Tue Apr 08 19:47:39 CEST 2025","","check Sign Up Page","",""
"","1115","negative Without Email","","Tue Apr 08 19:48:15 CEST 2025","passed","Tue Apr 08 19:48:16 CEST 2025","","check Sign In Page","",""
"","2345","sign up negative without name","","Tue Apr 08 19:47:41 CEST 2025","passed","Tue Apr 08 19:47:43 CEST 2025","","check Sign Up Page","",""
